x;y;z;time
14,01; -4,46; -0,67; 747202309
14,96; -5,55; -1,24; 747202335
15,37; -6,09; -1,57; 747202349
15,92; -7,20; -2,41; 747202378
15,79; -7,35; -2,41; 747202393
15,48; -7,59; -1,94; 747202411
15,54; -7,85; -1,85; 747202427
15,73; -8,61; -2,13; 747202453
15,93; -9,40; -2,42; 747202467
16,35; -11,09; -2,75; 747202495
16,32; -11,83; -2,85; 747202510
14,44; -11,88; -2,07; 747202535
13,31; -11,26; -1,13; 747202548
10,61; -10,42; 0,72; 747202576
8,65; -9,85; 1,26; 747202587
4,41; -8,15; 1,41; 747202611
2,07; -6,80; 0,44; 747202628
1,09; -5,94; -1,97; 747202652
1,53; -5,82; -3,34; 747202667
2,73; -5,54; -3,34; 747202695
2,90; -5,44; -2,62; 747202708
2,97; -5,50; -1,16; 747202737
3,17; -5,72; -0,79; 747202751
3,61; -6,41; -0,37; 747202776
3,67; -6,55; -0,40; 747202787
3,72; -6,46; -0,71; 747202812
3,64; -6,21; -0,81; 747202827
3,59; -6,19; -0,91; 747202852
3,85; -6,24; -0,85; 747202867
5,19; -6,83; -0,62; 747202895
6,09; -7,15; -0,43; 747202910
8,32; -8,11; -0,84; 747202935
9,19; -8,65; -1,24; 747202948
10,56; -9,42; -2,07; 747202978
10,86; -9,58; -2,46; 747202987
12,08; -9,97; -3,10; 747203011
13,90; -10,07; -3,58; 747203029
15,45; -10,23; -4,22; 747203053
15,69; -10,14; -4,05; 747203069
15,48; -9,80; -2,72; 747203095
15,67; -9,82; -2,00; 747203108
17,63; -9,98; -0,68; 747203137
18,53; -9,45; -0,68; 747203149
19,13; -7,10; -1,07; 747203176
18,62; -5,73; -0,84; 747203187
17,70; -3,31; -0,38; 747203209
16,78; -2,31; -0,21; 747203226
14,67; -2,00; 0,71; 747203254
13,70; -1,90; 0,97; 747203268
12,91; -1,50; 0,21; 747203294
12,80; -0,98; -0,66; 747203307
13,51; -0,08; -2,51; 747203335
13,73; 0,15; -3,28; 747203351
14,09; -0,04; -3,59; 747203377
13,97; -0,34; -3,10; 747203388
13,47; -1,22; -1,62; 747203411
13,14; -1,98; -0,77; 747203427
13,04; -3,06; 0,07; 747203454
13,27; -3,60; 0,02; 747203467
13,92; -4,51; -0,72; 747203496
14,25; -4,90; -1,00; 747203510
15,27; -5,96; -1,28; 747203536
15,74; -6,46; -1,61; 747203549
15,97; -7,33; -2,50; 747203577
15,81; -7,57; -2,68; 747203587
15,52; -8,04; -2,93; 747203611
15,69; -8,88; -3,17; 747203629
16,35; -10,33; -3,19; 747203652
16,63; -11,06; -3,04; 747203669
15,72; -11,18; -2,26; 747203696
14,94; -10,83; -1,98; 747203711
12,15; -9,00; -1,07; 747203736
10,71; -8,03; -0,55; 747203748
9,49; -7,36; -0,48; 747203776
9,81; -7,67; -1,45; 747203788
9,47; -7,46; -3,30; 747203812
7,89; -7,11; -3,50; 747203828
5,51; -6,63; -3,09; 747203851
4,64; -6,68; -2,13; 747203869
3,72; -6,68; -0,53; 747203896
3,37; -6,52; -0,13; 747203911
2,37; -6,27; -0,12; 747203938
1,88; -6,17; -0,21; 747203954
0,73; -5,74; -0,42; 747203977
0,62; -5,58; -0,44; 747203987
1,19; -5,49; -0,40; 747204010
1,69; -5,47; -0,10; 747204031
2,13; -5,73; 0,03; 747204053
2,76; -5,99; -0,23; 747204068
4,19; -6,69; -0,59; 747204095
5,09; -7,05; -0,89; 747204108
7,03; -7,78; -1,23; 747204135
7,77; -8,00; -1,21; 747204149
9,85; -8,80; -1,16; 747204179
10,65; -9,16; -1,18; 747204188
12,72; -9,40; -1,09; 747204211
13,52; -9,56; -0,90; 747204228
14,63; -10,53; -2,20; 747204252
15,96; -10,99; -3,36; 747204266
18,80; -10,76; -4,76; 747204294
19,15; -10,13; -4,54; 747204307
18,47; -8,42; -3,31; 747204338
18,50; -7,55; -3,17; 747204349
17,93; -5,88; -3,70; 747204376
17,28; -5,34; -3,48; 747204387
15,80; -4,56; -2,24; 747204411
15,48; -4,08; -1,80; 747204428
15,34; -3,31; -2,69; 747204452
15,00; -2,35; -2,99; 747204467
14,99; -0,47; -3,41; 747204494
15,36; 0,21; -3,21; 747204507
15,40; 0,85; -2,15; 747204536
15,19; 1,00; -1,41; 747204547
14,78; 0,96; -0,58; 747204576
14,57; 0,73; -0,66; 747204587
14,33; 0,03; -1,19; 747204611
14,50; -0,63; -1,80; 747204627
14,79; -1,91; -2,55; 747204655
15,11; -2,67; -2,54; 747204667
15,46; -4,12; -2,00; 747204695
15,42; -4,79; -1,70; 747204709
15,60; -6,20; -1,32; 747204736
15,60; -6,72; -1,46; 747204748
15,63; -7,69; -1,73; 747204777
15,74; -8,09; -1,86; 747204787
15,95; -8,92; -2,15; 747204810
16,18; -9,53; -2,41; 747204827
15,94; -10,55; -2,66; 747204852
15,66; -11,03; -2,18; 747204867
14,47; -10,83; -1,26; 747204895
13,16; -9,96; -0,63; 747204907
10,99; -8,52; -0,02; 747204934
10,48; -8,59; -0,28; 747204948
8,74; -8,49; -1,10; 747204976
7,72; -8,25; -1,08; 747204988
5,95; -7,88; -0,58; 747205010
