x;y;z;time
8,59; 1,15; -1,14; 2716607556
8,25; 1,20; -1,48; 2716607578
8,01; 1,27; -1,95; 2716607595
8,20; 1,29; -2,11; 2716607620
9,30; 1,21; -1,98; 2716607635
11,07; 1,09; -1,57; 2716607654
12,69; 1,42; -1,17; 2716607674
13,69; 2,27; -2,68; 2716607694
14,36; 1,18; -2,34; 2716607712
12,70; 0,54; -2,82; 2716607732
11,55; 0,04; -3,08; 2716607752
10,46; -0,15; -3,39; 2716607773
9,46; 0,13; -3,04; 2716607791
8,41; 1,08; -2,83; 2716607810
7,73; 1,94; -3,52; 2716607829
7,53; 2,00; -4,72; 2716607853
7,24; 1,74; -5,13; 2716607869
7,24; 1,23; -4,80; 2716607887
7,37; 0,37; -4,25; 2716607906
8,10; -0,38; -3,59; 2716607926
8,88; -0,87; -3,30; 2716607945
9,60; -0,75; -2,94; 2716607968
9,38; -0,32; -2,66; 2716607984
8,86; -0,04; -2,53; 2716608004
8,85; -0,02; -2,46; 2716608023
9,49; 0,10; -2,59; 2716608043
10,01; 0,30; -2,89; 2716608060
9,90; 0,48; -2,87; 2716608084
9,39; 0,63; -2,36; 2716608102
8,99; 0,79; -1,82; 2716608119
8,99; 1,14; -1,74; 2716608140
9,19; 1,31; -1,59; 2716608159
9,32; 1,43; -1,23; 2716608179
9,47; 1,56; -1,30; 2716608203
9,54; 1,41; -1,53; 2716608218
9,49; 0,89; -1,85; 2716608235
9,39; 0,15; -2,06; 2716608255
9,17; -0,26; -2,03; 2716608275
9,06; -0,11; -2,02; 2716608295
9,17; 0,30; -1,67; 2716608314
9,66; 0,52; -1,46; 2716608334
10,14; 0,44; -1,22; 2716608354
10,95; 0,27; -1,93; 2716608370
11,95; 1,14; -2,16; 2716608392
12,59; 2,62; -2,97; 2716608412
12,73; 2,76; -3,57; 2716608431
11,61; 1,33; -3,53; 2716608453
9,91; -0,06; -3,59; 2716608469
8,07; -0,38; -4,01; 2716608489
6,12; 0,05; -3,83; 2716608508
4,59; 0,56; -3,15; 2716608528
4,67; 1,20; -2,36; 2716608548
6,70; 1,84; -2,31; 2716608567
10,72; 2,04; -3,07; 2716608585
14,55; 1,82; -3,85; 2716608606
14,33; 1,23; -3,69; 2716608624
10,86; 1,26; -2,85; 2716608645
8,38; 1,53; -2,43; 2716608664
7,78; 1,64; -2,47; 2716608685
8,21; 1,44; -2,50; 2716608703
8,84; 0,92; -2,43; 2716608721
9,20; 0,39; -2,30; 2716608741
9,45; 0,01; -2,02; 2716608761
9,54; -0,09; -1,43; 2716608780
9,12; 0,13; -0,95; 2716608798
8,80; 0,62; -1,02; 2716608819
8,96; 0,91; -1,26; 2716608839
9,02; 1,06; -1,04; 2716608857
8,64; 1,31; -0,88; 2716608876
8,14; 1,92; -1,32; 2716608894
8,09; 2,11; -1,81; 2716608916
8,69; 1,74; -2,13; 2716608936
9,53; 1,51; -1,97; 2716608955
10,57; 1,37; -1,13; 2716608974
11,85; 1,69; -0,02; 2716608994
13,62; 1,93; -2,29; 2716609013
16,72; 0,21; -3,07; 2716609031
14,49; -1,15; -4,31; 2716609052
11,04; -0,60; -2,99; 2716609072
8,87; 0,03; -3,35; 2716609087
7,84; 0,57; -3,27; 2716609107
7,30; 1,24; -3,22; 2716609128
7,51; 1,39; -3,43; 2716609147
8,39; 1,34; -3,98; 2716609168
9,17; 1,19; -4,68; 2716609186
9,46; 1,01; -4,51; 2716609205
9,09; 0,66; -3,78; 2716609225
8,55; 0,28; -3,21; 2716609245
8,14; -0,13; -2,69; 2716609264
8,29; -0,37; -2,67; 2716609286
8,75; -0,45; -2,83; 2716609302
9,23; -0,31; -2,64; 2716609324
9,60; 0,20; -2,58; 2716609343
